| Hostname      | Endereço IP     | MAC Address        |
| ------------- | --------------- | ------------------ |
| **dns1**      | 192.168.100.1   | 08:00:27:BB:00:01 |
| **dns2**      | 192.168.100.2   | 08:00:27:BB:00:02 |
| **rocky-n1**  | 192.168.100.11  | 00:11:22:33:44:55  |
| **rocky-n2**  | 192.168.100.12  | 00:11:22:33:44:56  |
| **rocky-n3**  | 192.168.100.13  | 00:11:22:33:44:57  |
| **debian-n1** | 192.168.100.21  | 00:11:22:33:44:58  |
| **debian-n2** | 192.168.100.22  | 00:11:22:33:44:59  |
| **debian-n3** | 192.168.100.23  | 00:11:22:33:44:60  |
| **firewall**  | 192.168.100.254 | 08:00:27:AA:00:01 |
